CPU_utilization,RAM_utilization,elapsed_time
0.0,12.5,0.0006812149995312211
1.0,12.5,0.0009355169995615142
0.1,12.5,0.0009168019996650401
0.1,12.5,0.0009706949995234027
0.1,12.4,0.000772187000620761
0.1,12.4,0.0010528209995754878
0.1,12.4,0.0007818960002623498
0.1,12.4,0.0007842599998184596
0.1,12.4,0.0007834880007067113
0.1,12.4,0.0007822260004104464
0.1,12.4,0.0007801130004736478
0.1,12.4,0.0007829579999452108
0.1,12.4,0.0007810140004949062
0.1,12.4,0.000783929999670363
0.1,12.4,0.0007954719994813786
0.2,12.4,0.0007970050000949414
0.1,12.5,0.0007698729996263864
0.1,12.4,0.0007846110001992201
0.1,12.4,0.0007736699999441043
0.1,12.4,0.0007836700006009778
0.1,12.4,0.000760605999857944
0.1,12.4,0.0007697529999859398
0.1,12.4,0.0007849529993109172
0.1,12.4,0.0007803930002410198
0.1,12.4,0.0007961030005390057
0.1,12.4,0.0007981879998624208
0.1,12.4,0.0007653549992028275
0.1,12.4,0.000784922000093502
0.1,12.4,0.0007717770004092017
0.1,12.4,0.0007786810001562117
