CPU_utilization,RAM_utilization,elapsed_time
5.6,20.1,0.1765459
1.5,20.2,0.1769
0.5,20.2,0.1739489
1.2,20.2,0.1769039
0.7,20.2,0.1765897
0.7,20.2,0.1761808
0.7,20.2,0.1766845
0.7,20.2,0.1766861
0.6,20.2,0.1757209
0.6,20.2,0.1783474
0.6,20.2,0.1753423
0.6,20.1,0.2029728
0.6,20.1,0.1761887
0.5,20.1,0.1756137
0.6,20.1,0.1750276
0.6,20.1,0.1761654
0.7,20.1,0.1763832
0.5,20.1,0.17645
0.7,20.1,0.1759314
0.6,20.1,0.1759463
0.5,20.1,0.1746695
0.7,20.1,0.1753074
0.6,20.1,0.1765633
0.5,20.1,0.175986
0.6,20,0.2034248
0.6,20,0.1755824
0.6,20,0.1738385
0.5,20,0.1758906
0.6,20,0.1766819
0.9,20.1,0.1755842
