Sample,base CPU,base RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
LightExtraction,3,19,7.6,19.1,4.6,0.100000000000001,0.038183210999705
LightExtraction,2.4,19.1,0,19.1,-2.4,0,0.003693662998558
LightExtraction,2.6,19,0,19,-2.6,0,0.003324730001623
LightExtraction,2.5,19,0,19,-2.5,0,0.003759863997402
LightExtraction,2.4,19,0,19,-2.4,0,0.003813994997472
LightExtraction,2.7,19,0,19,-2.7,0,0.003702153000631
LightExtraction,2.6,19,0,19,-2.6,0,0.003061153001909
LightExtraction,2.4,19,0,19,-2.4,0,0.003714193000633
LightExtraction,2.5,19,10,19,7.5,0,0.003719772998011
LightExtraction,2.6,19,12.5,19,9.9,0,0.003142711997498
LightExtraction,2.5,19,10,19,7.5,0,0.004158932999417
LightExtraction,2.5,19,0,19,-2.5,0,0.003079290996538
LightExtraction,2.7,19,10,19,7.3,0,0.003848148000543
LightExtraction,2.5,19,14.3,19,11.8,0,0.005112111000926
LightExtraction,2.7,19,11.1,19,8.4,0,0.003650747996289
LightExtraction,2.5,19,0,19,-2.5,0,0.003595232999942
LightExtraction,2.7,19,10,19,7.3,0,0.003706479998073
LightExtraction,2.9,19,0,19,-2.9,0,0.003812157003267
LightExtraction,2.6,19,0,19,-2.6,0,0.004188668994175
LightExtraction,2.4,19,0,19,-2.4,0,0.00352479799767
LightExtraction,2.6,19,11.1,19,8.5,0,0.003722244997334
LightExtraction,2.4,19,0,19,-2.4,0,0.00365329500346
LightExtraction,2.6,19,0,19,-2.6,0,0.004146204999415
LightExtraction,2.2,19,0,19,-2.2,0,0.003662711998913
LightExtraction,2.2,19,0,19,-2.2,0,0.003653373001725
LightExtraction,2.2,19,0,19,-2.2,0,0.003653039995697
LightExtraction,2.3,19,0,19,-2.3,0,0.003711009005201
LightExtraction,2.7,19,0,19,-2.7,0,0.003724602996954
LightExtraction,2.5,19,20,19,17.5,0,0.003893786997651
LightExtraction,2.5,19,0,19,-2.5,0,0.003637548994448
LightExtraction,2.6,19,10,19,7.4,0,0.00402310899517
