base CPU,base RAM,CPU_utilization,RAM_utilization,CPU_d,RAM_d,elapsed_time
2.2,18.8,7.1,19.7,4.8999999999999995,0.8999999999999986,0.0006013300007907674
1.9,19.7,7.1,19.7,5.199999999999999,0.0,0.0008482779958285391
1.7,19.7,7.1,19.7,5.3999999999999995,0.0,0.0010034179940703325
2.0,19.8,6.7,19.8,4.7,0.0,0.0009734310006024316
1.4,19.8,7.7,19.8,6.300000000000001,0.0,0.0008515540030202828
1.5,19.8,7.1,19.8,5.6,0.0,0.0008599799984949641
2.0,19.8,7.7,19.8,5.7,0.0,0.0008503220014972612
3.1,19.8,7.7,19.8,4.6,0.0,0.0008513130014762282
2.9,19.7,7.7,19.7,4.800000000000001,0.0,0.0009056650014827028
2.7,19.7,0.0,19.7,-2.7,0.0,0.0005072330022812821
1.5,19.7,5.9,19.7,4.4,0.0,0.0009575709991622716
1.6,19.6,0.0,19.6,-1.6,0.0,0.000844872003654018
1.8,19.6,10.5,19.6,8.7,0.0,0.0010777050047181547
2.4,19.6,0.0,19.6,-2.4,0.0,0.0008528869948349893
3.5,19.7,5.9,19.7,2.4000000000000004,0.0,0.0009086900026886724
2.1,19.7,6.7,19.7,4.6,0.0,0.0008627240022178739
2.1,19.7,0.0,19.7,-2.1,0.0,0.0008541879942640662
1.9,19.7,7.1,19.7,5.199999999999999,0.0,0.0008513330030837096
1.9,19.7,0.0,19.7,-1.9,0.0,0.0009127570010605268
1.8,19.7,0.0,19.7,-1.8,0.0,0.001050364000548143
2.1,19.7,0.0,19.7,-2.1,0.0,0.0008622830064268783
1.8,19.7,6.7,19.7,4.9,0.0,0.0017110410044551827
1.6,19.7,14.3,19.7,12.700000000000001,0.0,0.0008410240043303929
1.7,19.7,12.5,19.7,10.8,0.0,0.0015465550022781827
1.6,19.7,7.1,19.7,5.5,0.0,0.0006975470023462549
1.6,19.7,7.7,19.7,6.1,0.0,0.0008465430000796914
1.7,19.7,15.4,19.7,13.700000000000001,0.0,0.0007015350056462921
1.6,19.7,7.7,19.7,6.1,0.0,0.0008486480001010932
1.6,19.7,7.7,19.7,6.1,0.0,0.0009177259998978116
1.7,19.7,0.0,19.7,-1.7,0.0,0.0008566719989175908
1.8,19.7,0.0,19.7,-1.8,0.0,0.0008618819992989302
